address_id,customer_id,address_type,street_address,city,state,zip_code
A000088,C000073,Home,4901 Sara Burgs Suite 677,Tallahassee,FL,85860
A000089,C000074,Home,80028 Gonzalez Islands Apt. 603,Miami,FL,95825
A000090,C000075,Home,76803 Aguilar Island,Naples,FL,40060
A000091,C000076,Home,51068 Pena Lights,Coral Springs,FL,44734
A000092,C000077,Home,0454 Swanson Lights,Tampa,FL,60990
A000093,C000078,Home,130 Tiffany Summit,Boca Raton,FL,70603
A000094,C000079,Home,7022 Moore Stravenue,Pembroke Pines,FL,23254
A000095,C000080,Home,57527 Guerrero Court Apt. 077,Jacksonville,FL,46062
A000096,C000081,Home,1829 Anna Brooks,Gainesville,FL,81013
A000097,C000082,Home,3772 Long Mall,Orlando,FL,71520
A000098,C000083,Home,60435 Serrano Brooks Suite 814,Tallahassee,FL,65288
A000099,C000083,Mailing,56825 Pamela Stravenue,Tallahassee,FL,19857
A000100,C000084,Home,1520 Ricardo Camp Apt. 394,Hollywood,FL,25597
A000101,C000085,Home,607 Hardy Corner,Pembroke Pines,FL,53444
A000102,C000086,Home,216 Stephanie Spring Suite 453,Naples,FL,12192
A000103,C000087,Home,56977 Willie Viaduct,Tallahassee,FL,84220
A000104,C000088,Home,78075 Laura Course,Hollywood,FL,03767
A000105,C000089,Home,290 Wallace Forge,Pembroke Pines,FL,84324
A000106,C000090,Home,8827 Jones Ferry,Fort Lauderdale,FL,59366
A000107,C000090,Mailing,4255 Anderson Station Suite 473,West Palm Beach,FL,43110
A000108,C000091,Home,6118 Baker Islands Suite 680,Hollywood,FL,19196
A000109,C000091,Mailing,2629 Hernandez Village Suite 717,Orlando,FL,78963
A000110,C000092,Home,1498 Christine Rapids Apt. 176,Davie,FL,93106
A000111,C000092,Mailing,6066 Michael Drive,Tallahassee,FL,41507
A000112,C000093,Home,6696 Jones Vista,Fort Lauderdale,FL,06436
A000113,C000093,Mailing,376 Christopher Crossing Apt. 489,Jacksonville,FL,00616
A000114,C000094,Home,8697 Ellis Burg Suite 538,Tallahassee,FL,05866
A000115,C000095,Home,1877 Alyssa Club Suite 711,Tampa,FL,83128
A000116,C000096,Home,742 Dixon Ferry Apt. 043,Miami,FL,63675
A000117,C000097,Home,45177 Daniels Keys Apt. 900,Hollywood,FL,11271
A000118,C000098,Home,609 Jennifer Ways Apt. 067,Hollywood,FL,62729
A000119,C000099,Home,0121 Zachary Mall Suite 334,Davie,FL,93596
A000120,C000100,Home,99362 Atkinson Walks,Sarasota,FL,39716
A000121,C000100,Mailing,857 Mcgrath Terrace Suite 754,Tallahassee,FL,18757
A000122,C000101,Home,6429 Villarreal Locks,Naples,FL,45905
A000123,C000102,Home,0204 Jose Squares,Jacksonville,FL,47672
A000124,C000103,Home,25275 Turner Lane Suite 286,Davie,FL,88313
A000125,C000104,Home,01192 Victoria Village,Tampa,FL,60980
A000126,C000105,Home,33356 Rodney Field,Fort Lauderdale,FL,12720
A000127,C000106,Home,66082 Morris Court,Davie,FL,29961
A000128,C000106,Mailing,740 Ashlee Extensions Suite 969,West Palm Beach,FL,64707
A000129,C000107,Home,756 Smith View,Orlando,FL,23560
A000130,C000108,Home,13423 Marcus Spur Apt. 601,Naples,FL,67044
A000131,C000108,Mailing,680 Lori Squares Suite 256,Hollywood,FL,70278
A000132,C000109,Home,51899 Ortiz Knolls Apt. 472,Miami,FL,53840
A000133,C000110,Home,39152 Brett Circles Suite 536,Tampa,FL,65108
A000134,C000111,Home,7943 Gilbert Roads,Pembroke Pines,FL,65276
A000135,C000112,Home,7920 Victor Coves,Orlando,FL,95185
A000136,C000112,Mailing,3070 Renee Place,Jacksonville,FL,63402
A000137,C000113,Home,56957 White Garden Suite 879,West Palm Beach,FL,59627
A000138,C000114,Home,0165 Campbell Fields Suite 036,Orlando,FL,17633
A000139,C000115,Home,637 Joseph Causeway,Pembroke Pines,FL,25743
A000140,C000116,Home,2487 Robyn Road Apt. 075,Pembroke Pines,FL,51958
A000141,C000116,Mailing,81430 Morris Mountains Suite 696,Boca Raton,FL,22224
A000142,C000117,Home,6916 Hicks Rapid,Boca Raton,FL,48634
A000143,C000118,Home,25556 Kerry Valley Suite 920,Boca Raton,FL,84328
A000144,C000119,Home,8298 Patricia Junctions Apt. 144,Davie,FL,29920
A000145,C000120,Home,06093 Breanna Road,Orlando,FL,49558
A000146,C000120,Mailing,17548 Holly Summit Suite 707,Jacksonville,FL,96434
A000147,C000121,Home,412 Hopkins Centers Suite 455,Coral Springs,FL,96024
A000148,C000122,Home,77327 Hughes Streets,Orlando,FL,07906
A000149,C000123,Home,192 Jill Views,Davie,FL,98535
A000150,C000124,Home,64506 Daniels Prairie Apt. 904,Jacksonville,FL,36575
A000151,C000124,Mailing,5066 Jenna Ferry,Hollywood,FL,91996
A000152,C000125,Home,7006 Brown Mountain,Orlando,FL,11714
A000153,C000125,Mailing,566 Campbell Gardens,Miami,FL,07772
A000154,C000126,Home,5486 Campbell Ridges,Hollywood,FL,40881
A000155,C000127,Home,64554 Katherine Oval,Tallahassee,FL,89535
A000156,C000128,Home,39010 Leon Pike,Naples,FL,77389
A000157,C000129,Home,22070 Melissa Terrace,Boca Raton,FL,64310
A000158,C000130,Home,5550 Conner Street Suite 441,Gainesville,FL,61242
A000159,C000131,Home,18088 Brown Village Apt. 401,Miami,FL,82915
A000160,C000132,Home,616 Cuevas Forks Apt. 523,Boca Raton,FL,64387
A000161,C000132,Mailing,91425 Angela Stream Apt. 464,Boca Raton,FL,84928
A000162,C000133,Home,367 Denise Square,Sarasota,FL,18693
A000163,C000134,Home,7398 Davis Cliff Suite 765,Tallahassee,FL,52630
A000164,C000135,Home,2571 Pruitt Trail Apt. 341,Fort Lauderdale,FL,13848
A000165,C000135,Mailing,8102 Katherine Road,Orlando,FL,68901
A000166,C000136,Home,6125 Wilson Fork Apt. 175,Tallahassee,FL,01580
A000167,C000137,Home,76469 White Junction,Jacksonville,FL,98580
A000168,C000138,Home,714 Tanner Common Apt. 411,Sarasota,FL,20102
A000169,C000139,Home,119 Nathan Station,Miami,FL,76047
A000170,C000140,Home,82756 Hood Motorway,Tallahassee,FL,73239
A000171,C000141,Home,74022 Adam Valley Suite 771,Coral Springs,FL,27000
A000172,C000142,Home,292 Ashley Lane Apt. 881,Miami,FL,94913
A000173,C000143,Home,4454 Carolyn Haven Apt. 481,Tallahassee,FL,99559
A000174,C000143,Mailing,073 Lewis Corners,Davie,FL,86820
A000175,C000144,Home,364 Julian Skyway,Sarasota,FL,98477
A000176,C000145,Home,422 Steven Ports,Jacksonville,FL,65920
A000177,C000146,Home,7657 Lee Mall Suite 742,Miami,FL,33451
A000178,C000147,Home,932 Robert Island Apt. 769,Tallahassee,FL,17794
A000179,C000148,Home,32179 Donovan Parkways,Pembroke Pines,FL,60186
A000180,C000149,Home,888 Mcdonald Roads,Pembroke Pines,FL,56978
A000181,C000150,Home,60843 Teresa Knolls,Tampa,FL,97278
A000182,C000151,Home,4004 Quinn Neck Suite 525,Jacksonville,FL,51604
A000183,C000152,Home,206 Cervantes Mountains Suite 087,Hollywood,FL,03083
A000184,C000153,Home,67247 Guerrero Crossing Apt. 271,Naples,FL,94384
A000185,C000154,Home,974 Matthews Underpass Suite 301,Boca Raton,FL,20457
A000186,C000155,Home,3401 Amber Summit,Naples,FL,10094
A000187,C000156,Home,7750 Strickland Meadows,Boca Raton,FL,11359
A000188,C000157,Home,651 Smith Crossing,Hollywood,FL,96220
A000189,C000158,Home,012 Monique Highway Suite 189,Naples,FL,61802
A000190,C000159,Home,680 Erica Tunnel Apt. 799,Coral Springs,FL,20901
A000191,C000160,Home,423 Eileen Shoals Suite 855,Naples,FL,13942
A000192,C000161,Home,49723 Joel Greens,Gainesville,FL,00845
A000193,C000161,Mailing,04428 Steele Summit,Pembroke Pines,FL,32451
A000194,C000162,Home,211 Terry Spur Suite 554,Naples,FL,02721
A000195,C000163,Home,341 Susan Crossroad,Naples,FL,93347
A000196,C000164,Home,7315 Bruce Highway,Naples,FL,30252
A000197,C000165,Home,81236 Molly Canyon Apt. 492,Gainesville,FL,09903
A000198,C000166,Home,5167 Victoria Well Suite 988,Pembroke Pines,FL,94958
A000199,C000167,Home,99925 Dillon Trace Apt. 422,Tallahassee,FL,96454
A000200,C000168,Home,950 Kelly Unions,West Palm Beach,FL,81049
A000201,C000168,Mailing,554 Jonathon Fort Apt. 686,Jacksonville,FL,18567
A000202,C000169,Home,616 Daniel Cliff Suite 373,Davie,FL,06031
A000203,C000170,Home,72705 Kimberly Park Suite 049,Gainesville,FL,81848
A000204,C000171,Home,9364 Kim Burgs Apt. 256,Gainesville,FL,80888
A000205,C000172,Home,775 Beck Motorway Apt. 002,Fort Lauderdale,FL,03567
A000206,C000173,Home,501 Jackson Crossroad Suite 496,Miami,FL,59713
A000207,C000174,Home,16357 Romero Causeway,Gainesville,FL,33064
A000208,C000175,Home,698 William Spurs,Jacksonville,FL,88649
A000209,C000176,Home,867 Sarah Point Suite 364,Hollywood,FL,36509
A000210,C000177,Home,853 Bailey Vista,Pembroke Pines,FL,85023
A000211,C000178,Home,03043 Parsons Trace,Tampa,FL,72339
A000212,C000179,Home,0055 Peterson Isle,Boca Raton,FL,64432
A000213,C000179,Mailing,13644 Smith Shoal Apt. 764,Gainesville,FL,81890
A000214,C000180,Home,88659 David Causeway,Orlando,FL,42132
A000215,C000181,Home,064 Christopher Dam,Davie,FL,73128
A000216,C000182,Home,3543 Christopher Keys Suite 258,Pembroke Pines,FL,28234
A000217,C000182,Mailing,4750 Hunter Vista Suite 041,Davie,FL,71984
A000218,C000183,Home,6121 Laurie Lakes,Tallahassee,FL,10963
A000219,C000184,Home,70765 Leslie Course Suite 179,Jacksonville,FL,98196
A000220,C000185,Home,4463 Joshua Prairie,Sarasota,FL,55307
A000221,C000186,Home,6880 Bautista Drives Suite 417,Gainesville,FL,74947
A000222,C000187,Home,6490 Cindy Fields Suite 793,Fort Lauderdale,FL,68328
A000223,C000188,Home,0041 Cheryl Trafficway,Hollywood,FL,05762
A000224,C000189,Home,1617 Lopez Union,West Palm Beach,FL,32316
A000225,C000189,Mailing,0531 Kathryn Mountains,Coral Springs,FL,53496
A000226,C000190,Home,54322 Richard Via Suite 704,Coral Springs,FL,59668
A000227,C000190,Mailing,43363 Stevens Vista,West Palm Beach,FL,66395
A000228,C000191,Home,25268 Morgan Drive,West Palm Beach,FL,94866
A000229,C000191,Mailing,89223 Michelle Parkway Apt. 812,Gainesville,FL,84335
A000230,C000192,Home,265 Elizabeth Unions Suite 826,Fort Lauderdale,FL,74032
A000231,C000193,Home,4713 Fowler Port,Gainesville,FL,10727
A000232,C000194,Home,2041 Kim Summit,Tallahassee,FL,73661
A000233,C000195,Home,78712 Brown Run Apt. 307,Tampa,FL,11503
A000234,C000196,Home,930 Andre Street,Tampa,FL,95930
A000235,C000197,Home,6901 Joseph Villages Apt. 977,Tampa,FL,60165
A000236,C000198,Home,104 Emma Forges,Jacksonville,FL,16534
A000237,C000198,Mailing,56898 Manuel Circle,Gainesville,FL,86460
A000238,C000199,Home,16533 Kevin Island,West Palm Beach,FL,09561
A000239,C000200,Home,36085 Lozano Canyon,Tallahassee,FL,43280
A000240,C000201,Home,312 Martinez Square Suite 119,Hollywood,FL,02693
A000241,C000202,Home,7269 Brian Estate Apt. 742,Davie,FL,98010
A000242,C000203,Home,5034 Maria Mountains,Fort Lauderdale,FL,88217
A000243,C000203,Mailing,74631 Baker Centers,Hollywood,FL,99501
A000244,C000204,Home,00778 Robert Prairie,Fort Lauderdale,FL,60592
A000245,C000205,Home,350 Nicholas Springs Apt. 258,Coral Springs,FL,63677
A000246,C000206,Home,6765 Jeremiah Ford Suite 647,Hollywood,FL,21365
A000247,C000206,Mailing,31561 Rhodes Manor Suite 803,Davie,FL,09755
A000248,C000207,Home,140 Latasha Walks Suite 177,Orlando,FL,62843
A000249,C000208,Home,435 Harris Hills Suite 602,Gainesville,FL,04908
A000250,C000209,Home,058 Nichols Manors,Gainesville,FL,36717
A000251,C000209,Mailing,4441 Garcia Mills,Gainesville,FL,40887
A000252,C000210,Home,924 John Village,Hollywood,FL,80073
A000253,C000211,Home,64404 Jimenez Parkway,Tallahassee,FL,12859
A000254,C000212,Home,645 Mullen Mountains,Orlando,FL,56332
A000255,C000213,Home,0909 Garner Drive Suite 069,Naples,FL,81125
A000256,C000213,Mailing,3381 Jorge Springs Apt. 059,Miami,FL,85883
A000257,C000214,Home,0431 Dustin Coves Apt. 711,Tampa,FL,71505
A000258,C000214,Mailing,0968 Ralph Circles Suite 308,Tampa,FL,65191
A000259,C000215,Home,025 Carlos Flats Suite 300,Tallahassee,FL,51348
A000260,C000215,Mailing,67080 Joshua Haven Apt. 005,Tallahassee,FL,38174
A000261,C000216,Home,34043 Peters Club,Jacksonville,FL,38201
A000262,C000217,Home,73449 Jessica Flat Suite 268,Pembroke Pines,FL,88331
A000263,C000218,Home,9045 Payne River Suite 553,West Palm Beach,FL,46254
A000264,C000219,Home,144 Cannon Circle,Tallahassee,FL,52341
A000265,C000220,Home,0490 Kaitlin Underpass Apt. 102,Pembroke Pines,FL,08408
A000266,C000221,Home,36079 Tonya Loop Suite 534,Davie,FL,71451
A000267,C000222,Home,048 Perez Vista Apt. 493,Gainesville,FL,80571
A000268,C000223,Home,992 Olivia Bridge Apt. 027,Gainesville,FL,64734
A000269,C000224,Home,647 Beverly Canyon,Tallahassee,FL,03270
A000270,C000225,Home,118 Chelsea Island,Hollywood,FL,44222
A000271,C000226,Home,750 Madeline Street Suite 466,Naples,FL,84910
A000272,C000227,Home,29309 Davis Throughway Apt. 854,Fort Lauderdale,FL,98504
A000273,C000228,Home,717 Walker Knoll Apt. 610,Fort Lauderdale,FL,85644
A000274,C000229,Home,80664 Wells Mountain Apt. 976,Tallahassee,FL,63209
A000275,C000230,Home,541 Mitchell Mount Suite 115,Coral Springs,FL,70240
A000276,C000231,Home,6579 Lee Place,Jacksonville,FL,95901
A000277,C000232,Home,5090 Fitzgerald Station,Miami,FL,11403
A000278,C000233,Home,507 Rodriguez Well Suite 667,Sarasota,FL,18140
A000279,C000234,Home,77534 Brian Lights,Jacksonville,FL,45900
A000280,C000235,Home,0567 Christian Vista,Coral Springs,FL,82377
A000281,C000235,Mailing,3929 Paul Meadow Apt. 084,Fort Lauderdale,FL,95255
A000282,C000236,Home,9066 Robert Estates,Coral Springs,FL,72600
A000283,C000237,Home,376 Padilla Harbor,Jacksonville,FL,40283
A000284,C000238,Home,75946 Spencer Junctions Suite 539,West Palm Beach,FL,08759
A000285,C000239,Home,0912 Lopez Brooks Apt. 029,Tallahassee,FL,49805
A000286,C000239,Mailing,36842 Elizabeth Corner Suite 743,Jacksonville,FL,01233
A000287,C000240,Home,3868 Anderson Forge Apt. 332,Jacksonville,FL,90284
A000288,C000241,Home,9369 Sims Fords Apt. 958,Fort Lauderdale,FL,78619
A000289,C000242,Home,7991 Michael Cliffs,Sarasota,FL,41493
A000290,C000242,Mailing,3225 Smith Mount,West Palm Beach,FL,63711
A000291,C000243,Home,201 Jeremy Key Apt. 205,Orlando,FL,93925
A000292,C000244,Home,9222 Courtney Landing,Fort Lauderdale,FL,45363
A000293,C000245,Home,57612 Mary Trail Apt. 569,Orlando,FL,08185
A000294,C000246,Home,67380 Derek Course,Sarasota,FL,71371
A000295,C000247,Home,5466 Hood Stravenue Apt. 137,Pembroke Pines,FL,34023
A000296,C000248,Home,519 Audrey Tunnel Apt. 038,West Palm Beach,FL,20540
A000297,C000249,Home,261 Charles Knoll Apt. 275,Coral Springs,FL,50450
A000298,C000250,Home,2725 Thompson Plains Apt. 484,Fort Lauderdale,FL,94259
A000299,C000251,Home,3547 Singleton Crossroad,Pembroke Pines,FL,69139
A000300,C000252,Home,68324 Bennett Haven,Boca Raton,FL,31941
A000301,C000253,Home,2213 Lewis Mills,West Palm Beach,FL,37857
A000302,C000254,Home,86649 Allen Manor,Tampa,FL,50061
A000303,C000255,Home,2192 Lopez Pass,Boca Raton,FL,24126
A000304,C000255,Mailing,225 Stacy Forest,West Palm Beach,FL,53513
A000305,C000256,Home,09975 Nathan Dale Apt. 526,Orlando,FL,34994
A000306,C000257,Home,8384 Molina Grove,Naples,FL,12992
A000307,C000258,Home,352 Walton Viaduct,Fort Lauderdale,FL,76525
A000308,C000259,Home,29374 Anderson Extension,Tampa,FL,02041
A000309,C000260,Home,77292 Morrow Drive Suite 261,Miami,FL,50901
A000310,C000261,Home,6743 Mendoza Parkway Suite 937,Davie,FL,24163
A000311,C000261,Mailing,845 Evans Motorway Apt. 853,Naples,FL,63275
A000312,C000262,Home,1757 Elizabeth Circle,Miami,FL,06387
A000313,C000263,Home,394 Jennifer Knoll Suite 106,Hollywood,FL,53953
A000314,C000263,Mailing,651 Brittany Cape Suite 875,Gainesville,FL,45739
A000315,C000264,Home,1973 Karen Rapids Suite 691,Sarasota,FL,15970
A000316,C000265,Home,38302 Paul Locks,Pembroke Pines,FL,55071
A000317,C000266,Home,617 Kathryn Villages,Sarasota,FL,87177
A000318,C000267,Home,601 Rebecca Forges Suite 608,Gainesville,FL,53738
A000319,C000267,Mailing,245 Little Well Apt. 647,West Palm Beach,FL,28095
A000320,C000268,Home,907 Evelyn Viaduct,Miami,FL,56539
A000321,C000269,Home,9606 Brian Prairie Apt. 383,Fort Lauderdale,FL,61194
A000322,C000269,Mailing,20358 Williams Overpass,Tallahassee,FL,40012
A000323,C000270,Home,87772 Michael Islands,Tampa,FL,56150
A000324,C000271,Home,45106 Gray Forge,Gainesville,FL,44180
A000325,C000272,Home,64361 Thompson Parkways Apt. 303,Fort Lauderdale,FL,17797
A000326,C000273,Home,718 Megan Curve Apt. 128,Naples,FL,66739
A000327,C000274,Home,1268 Key Heights,Tampa,FL,76020
A000328,C000275,Home,41868 Holly Landing Suite 275,West Palm Beach,FL,53373
A000329,C000275,Mailing,0060 Simmons Rapid,Jacksonville,FL,79282
A000330,C000276,Home,217 Long Streets,Miami,FL,68465
A000331,C000277,Home,951 Sherman Dam Suite 639,Hollywood,FL,32739
A000332,C000278,Home,7823 Kim Trail,Coral Springs,FL,47727
A000333,C000278,Mailing,162 James Cape,Orlando,FL,41910
A000334,C000279,Home,51828 Jean Inlet Apt. 605,Sarasota,FL,37950
A000335,C000280,Home,2454 Elizabeth Underpass Apt. 071,Davie,FL,55683
A000336,C000281,Home,4084 Dylan Drive Suite 759,Coral Springs,FL,94679
A000337,C000282,Home,90485 Wallace Villages Suite 415,Gainesville,FL,39607
A000338,C000282,Mailing,4353 Lisa Prairie Suite 845,Davie,FL,16130
A000339,C000283,Home,589 Russell Burgs Apt. 148,Gainesville,FL,81507
A000340,C000284,Home,73641 Casey Hills Suite 870,Jacksonville,FL,21443
A000341,C000285,Home,7023 Sullivan Spur Suite 971,Pembroke Pines,FL,61690
A000342,C000286,Home,764 Sergio Mills,Sarasota,FL,28048
A000343,C000287,Home,8585 Troy Crescent Apt. 730,Gainesville,FL,87398
A000344,C000287,Mailing,20684 Williams Spurs,Hollywood,FL,87816
A000345,C000288,Home,81012 Smith Locks Apt. 932,Naples,FL,98376
A000346,C000289,Home,802 Rodriguez Port Suite 665,Tallahassee,FL,59456
A000347,C000289,Mailing,40598 Taylor Burgs Suite 939,Tallahassee,FL,51300
A000348,C000290,Home,1968 Cheryl Bridge,Miami,FL,37168
A000349,C000291,Home,4152 Paul Square,Davie,FL,55455
A000350,C000292,Home,515 Eric Pines Suite 460,Orlando,FL,81005
A000351,C000293,Home,346 Jennifer Bridge Suite 966,Jacksonville,FL,42052
A000352,C000294,Home,9735 Rubio Spurs,Tampa,FL,53920
A000353,C000295,Home,702 Ellis Pass,Gainesville,FL,76590
A000354,C000296,Home,168 Walton Summit Suite 585,Tampa,FL,57500
A000355,C000296,Mailing,71098 Jonathan Manors,Tallahassee,FL,36977
A000356,C000297,Home,3943 Williams Run Apt. 813,Hollywood,FL,27542
A000357,C000298,Home,4625 Spencer Centers Apt. 473,Davie,FL,66501
A000358,C000299,Home,698 Taylor Circle Apt. 395,West Palm Beach,FL,86396
A000359,C000300,Home,79353 Reese Plaza Apt. 004,Coral Springs,FL,41404
A000360,C000300,Mailing,67848 Heather Harbor,Coral Springs,FL,32763
A000361,C000301,Home,9241 Susan Plains Suite 871,Tallahassee,FL,57777
A000362,C000302,Home,7405 Jordan Path,Tallahassee,FL,32462
A000363,C000303,Home,831 Jeffery Fords,Orlando,FL,30892
A000364,C000303,Mailing,2387 Douglas Groves Suite 475,Miami,FL,56660
A000365,C000304,Home,5878 Becker Passage Apt. 099,Boca Raton,FL,29774
A000366,C000305,Home,547 Alicia Viaduct,Pembroke Pines,FL,94764
A000367,C000306,Home,17745 Lin Via Suite 194,Gainesville,FL,89242
A000368,C000307,Home,7483 Javier Mission,Miami,FL,49000
A000369,C000307,Mailing,4259 Jacob Square,Coral Springs,FL,21420
A000370,C000308,Home,25179 Andersen Point Suite 720,Davie,FL,64476
A000371,C000308,Mailing,551 Williams Street Suite 170,Fort Lauderdale,FL,01214
A000372,C000309,Home,2299 Catherine Track Suite 022,Miami,FL,17673
A000373,C000310,Home,609 Mcgee Prairie Apt. 926,West Palm Beach,FL,57124
A000374,C000311,Home,5925 James Shoals,Miami,FL,94079
